run_id,variant,fault_id,fault_family,study_scope,ablation_block,hypothesis_id,interpretation_note,faithfulness_label,intensity_level,duration_level,pending_level,train_mode,repeat_idx,seed_idx,run_seed,loadgen_seed,tp,fp,fn,tn,tpr,fpr,precision,recall,f1,mean_lead_time_s,median_lead_time_s,num_scored_alarms,pending_window_s,som_smooth_k,anomaly_streak,anomaly_quantile,som_kfold,som_rows,som_cols,som_lr,som_sigma,poll_sec,bootstrap_target,expected_bootstrap_vectors,effective_bootstrap_vectors,required_bootstrap_vectors,bootstrap_vectors_ok,coverage_ok,observability_limited,top_feature,top_effect_size,degenerate_features,normal_variance_score,matching_mode
20260328T225112Z-paper_fidelity_anchor-mem_leak-ilow-dshort-wl1-r01,paper_fidelity_anchor,mem_leak,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,low,short,l1,fresh_bootstrap,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,5,3,0.85,3,32,32,,,2.0,180,7,7,180,False,False,True,,0.0,,0.0,many_to_many
20260328T225112Z-paper_fidelity_anchor-cpu_hog_like-ilow-dshort-wl1-r01,paper_fidelity_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,low,short,l1,fresh_bootstrap,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,5,3,0.85,3,32,32,,,2.0,180,7,7,180,False,False,True,,0.0,,0.0,many_to_many
20260328T225112Z-paper_fidelity_anchor-net_hog_like_latency-ilow-dshort-wl1-r01,paper_fidelity_anchor,net_hog_like_latency,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,low,short,l1,fresh_bootstrap,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,5,3,0.85,3,32,32,,,2.0,180,7,7,180,False,False,True,,0.0,,0.0,many_to_many
20260328T225112Z-screen_smooth_streak-mem_leak-ilow-dshort-wl1-r01,screen_smooth_streak,mem_leak,paper_aligned,extended,decision,H-smooth-streak,Smoothing and streak trade recall vs false positives.,extended-beyond-paper,low,short,l1,warm_start,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,1,1,0.85,3,32,32,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,many_to_many
20260328T225112Z-screen_smooth_streak-cpu_hog_like-ilow-dshort-wl1-r01,screen_smooth_streak,cpu_hog_like,paper_aligned,extended,decision,H-smooth-streak,Smoothing and streak trade recall vs false positives.,extended-beyond-paper,low,short,l1,warm_start,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,1,1,0.85,3,32,32,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,many_to_many
20260328T225112Z-screen_smooth_streak-net_hog_like_latency-ilow-dshort-wl1-r01,screen_smooth_streak,net_hog_like_latency,paper_aligned,extended,decision,H-smooth-streak,Smoothing and streak trade recall vs false positives.,extended-beyond-paper,low,short,l1,warm_start,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,1,1,0.85,3,32,32,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,many_to_many
20260328T225112Z-screen_threshold-mem_leak-ilow-dshort-wl1-r01,screen_threshold,mem_leak,paper_aligned,extended,decision,H-quantile,Higher quantile should reduce alarms and lower TPR.,extended-beyond-paper,low,short,l1,warm_start,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,5,3,0.95,3,32,32,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,many_to_many
20260328T225112Z-screen_threshold-cpu_hog_like-ilow-dshort-wl1-r01,screen_threshold,cpu_hog_like,paper_aligned,extended,decision,H-quantile,Higher quantile should reduce alarms and lower TPR.,extended-beyond-paper,low,short,l1,warm_start,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,5,3,0.95,3,32,32,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,many_to_many
20260328T225112Z-screen_threshold-net_hog_like_latency-ilow-dshort-wl1-r01,screen_threshold,net_hog_like_latency,paper_aligned,extended,decision,H-quantile,Higher quantile should reduce alarms and lower TPR.,extended-beyond-paper,low,short,l1,warm_start,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,5,3,0.95,3,32,32,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,many_to_many
20260328T225112Z-screen_training_topology-mem_leak-ilow-dshort-wl1-r01,screen_training_topology,mem_leak,paper_aligned,extended,training,H-kfold-geometry,Reduced K-fold and smaller map can degrade stability.,extended-beyond-paper,low,short,l1,fresh_bootstrap,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,5,3,0.85,1,20,20,,,2.0,180,7,7,180,False,False,True,,0.0,,0.0,many_to_many
