run_id,variant,fault_id,fault_family,study_scope,ablation_block,hypothesis_id,interpretation_note,faithfulness_label,intensity_level,duration_level,pending_level,train_mode,repeat_idx,seed_idx,run_seed,loadgen_seed,tp,fp,fn,tn,tpr,fpr,precision,recall,f1,mean_lead_time_s,median_lead_time_s,num_scored_alarms,pending_window_s,alarm_fp_fraction,paper_af,paper_at,paper_ntn,paper_nfp,normal_window_ticks,num_alarms_before_fault_on,prediction_target_eval,alarm_time_filter,post_bootstrap_ts,fault_on_ts,slo_proxy_ts,anomaly_quantile_level,som_smooth_k,anomaly_streak,anomaly_quantile,som_kfold,som_rows,som_cols,som_lr,som_sigma,poll_sec,bootstrap_target,expected_bootstrap_vectors,effective_bootstrap_vectors,required_bootstrap_vectors,bootstrap_vectors_ok,coverage_ok,observability_limited,top_feature,top_effect_size,degenerate_features,normal_variance_score,matching_mode,som_model_present,som_metrics_error,som_dim,som_training_steps,som_threshold_saved,som_init_trials,som_selected_fold,som_selected_init,som_validation_accuracy,som_normalization_mode,som_online_clip_mode,som_scale_mean,som_scale_std,som_scale_min,som_scale_max,som_weight_mean,som_weight_std,som_weight_frobenius,som_unit_weight_l2_mean,som_unit_weight_l2_std,som_neighbor_dist_h_mean,som_neighbor_dist_v_mean,som_umatrix_mean,som_quantization_mean_bmu_dist,som_quantization_n_samples
20260329T052721Z-paper_fidelity_anchor-cpu_hog_like-ibase-dbase-wbase-s01-r01,paper_fidelity_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,1,1,57602129,57602129,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90.0,0.0,0.0,0.0,23,0,23,0,injection_onset,before_any_future_fault_start,1774765032.504787,1774765055.724562,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,120,120,80,True,True,False,proc_mem_bytes,602.6298850625753,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,retry_rate",7520.731717568253,one_to_one,True,,9,443,5.564464934568115,3,2,1,0.9615384615384616,train_max_100,none,9263334.593103778,26200657.163315743,0.03591652510834831,83369984.0,64.23646493634173,122.8908427317738,13312.013226669998,314.2208259561702,272.6199120185703,18.613986985288417,22.475915542891844,20.544951264090134,25.724288156236685,44
20260329T052721Z-paper_fidelity_anchor-cpu_hog_like-ibase-dbase-wbase-s01-r02,paper_fidelity_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,2,1,2485422854,2485422854,0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,90.0,1.0,0.045454545454545456,0.0,21,1,22,1,injection_onset,before_any_future_fault_start,1774765305.491219,1774765328.2181041,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,120,120,80,True,True,False,proc_mem_bytes,328464.0914285779,"disk_fill_mb,leak_mb,open_fds_sim,retry_rate",75343.44640600139,one_to_one,True,,9,434,6.285227292292707,3,1,1,0.8518518518518519,train_max_100,none,9215092.86869302,26064208.791635044,0.10149999999999952,82935808.0,50.51176845289511,67.64318228191867,8104.491973421286,226.2537026226071,113.80954179125209,8.26487426679626,8.321984514965058,8.29342939088066,28.83909444493696,34
20260329T052721Z-paper_fidelity_anchor-cpu_hog_like-ibase-dbase-wbase-s01-r03,paper_fidelity_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,3,1,3452107347,3452107347,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90.0,0.0,0.0,0.0,22,0,22,0,injection_onset,before_any_future_fault_start,1774765585.056681,1774765607.9449658,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,120,120,80,True,True,False,req_rate,0.644401670924194,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,retry_rate",0.07270131266902563,one_to_one,True,,9,441,9.128018053382984,3,2,2,0.8461538461538461,train_max_100,none,9185419.570736762,25980280.201088402,0.11499999999999988,82668748.8,47.673863008661016,51.92141884196826,6766.89757743614,205.06584576270177,51.630198917037525,9.11394960466957,10.596000629598256,9.854975117133911,17.55536029133664,37
20260329T052721Z-paper_fidelity_anchor-cpu_hog_like-ibase-dbase-wbase-s01-r04,paper_fidelity_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,4,1,2270519421,2270519421,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90.0,0.0,0.0,0.0,24,0,24,0,injection_onset,before_any_future_fault_start,1774765856.7132201,1774765880.871916,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,120,120,80,True,True,False,proc_mem_bytes,66472.22857142985,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,retry_rate",0.06045418935715206,one_to_one,True,,9,433,7.352544021387554,3,1,0,0.7407407407407407,train_max_100,none,9208721.431422843,26046187.26925468,0.07843750000000009,82878464.0,48.616354407072635,73.20546041455003,8436.313380424923,225.66732573651996,136.29953135645945,13.186521399683533,13.832626946759612,13.509574173221571,17.884579902337844,39
20260329T052721Z-paper_fidelity_anchor-cpu_hog_like-ibase-dbase-wbase-s01-r05,paper_fidelity_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,5,1,599740683,599740683,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90.0,0.0,0.0,0.0,33,0,33,0,injection_onset,before_any_future_fault_start,1774766130.910484,1774766164.03836,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,120,120,80,True,True,False,proc_mem_bytes,1687517.8666666597,"disk_fill_mb,leak_mb,open_fds_sim,retry_rate",172201.86103996466,one_to_one,True,,9,438,7.729941790439705,3,0,0,0.7777777777777778,train_max_100,none,9173222.58664044,25945781.94053575,0.14649999999999958,82558976.0,46.92102089704743,46.44870240292637,6338.228086013422,193.63726893166378,41.667559241183426,17.436411656274363,16.529142893758607,16.982777275016485,6.319319803621091,14
20260329T052721Z-paper_fidelity_anchor-cpu_hog_like-ibase-dbase-wbase-s01-r06,paper_fidelity_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,6,1,2784171582,2784171582,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90.0,0.0,0.0,0.0,22,0,22,0,injection_onset,before_any_future_fault_start,1774766415.718522,1774766438.428048,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,120,120,80,True,True,False,proc_mem_bytes,14979.657142847776,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,retry_rate",0.06893662305470742,one_to_one,True,,9,433,7.743137626793417,3,1,1,0.8888888888888888,train_max_100,none,9183235.035029937,25974101.408592645,0.18437500000000012,82649088.0,46.60747254256281,48.20134076306806,6436.745054378928,196.88435204309968,41.19688888784155,16.16258433356939,16.792945722632883,16.477765028101135,10.793102477154473,33
20260329T052721Z-paper_fidelity_anchor-cpu_hog_like-ibase-dbase-wbase-s01-r07,paper_fidelity_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,7,1,221036756,221036756,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90.0,0.0,0.0,0.0,24,0,24,0,injection_onset,before_any_future_fault_start,1774766688.1165109,1774766712.958067,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,120,120,80,True,True,False,proc_mem_bytes,231896.6153846085,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,retry_rate",19856.650220753087,one_to_one,True,,9,442,6.330473524576984,3,2,1,0.9230769230769231,train_max_100,none,9197798.59230362,26015293.36355128,0.12374999999999975,82780160.0,51.87690081079883,62.29745572606211,7782.625815741418,228.02485693101272,84.58331437498971,15.372953972452274,14.288147441204524,14.830550706828399,7.82146639893391,39
20260329T052721Z-paper_fidelity_anchor-cpu_hog_like-ibase-dbase-wbase-s01-r08,paper_fidelity_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,8,1,1997310098,1997310098,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90.0,0.0,0.0,0.0,22,0,22,0,injection_onset,before_any_future_fault_start,1774766968.061528,1774766990.521666,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,120,120,80,True,True,False,proc_mem_bytes,150732.79999999702,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,retry_rate",0.06169419148058965,one_to_one,True,,9,443,8.76546868017137,3,2,2,0.9230769230769231,train_max_100,none,9231021.726083167,26109262.50417191,0.08375000000000003,83079168.0,56.45007203746041,69.27886251499201,8579.076631393515,247.20652191925842,103.75200402996512,25.93687122470678,25.59849884978891,25.767685037247844,14.516842040546988,33
20260329T052721Z-paper_fidelity_anchor-cpu_hog_like-ibase-dbase-wbase-s01-r09,paper_fidelity_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,9,1,3311599776,3311599776,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90.0,0.0,0.0,0.0,21,0,21,0,injection_onset,before_any_future_fault_start,1774767239.767987,1774767261.433429,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,120,120,80,True,True,False,proc_mem_bytes,84601.01818181574,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,retry_rate",0.08423616521728164,one_to_one,True,,9,442,5.377368909709946,3,2,0,0.8846153846153846,train_max_100,none,9172767.48666317,25944494.68798791,0.12850000000000034,82554880.0,49.42748158709557,59.21440899113309,7404.719758521619,215.35680035058226,84.65369487899603,18.280084684906182,19.121787846817853,18.700936265862016,16.495096605732805,34
20260329T052721Z-paper_fidelity_anchor-cpu_hog_like-ibase-dbase-wbase-s01-r10,paper_fidelity_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-anchor,Reference paper-faithful-with-proxy anchor.,paper-faithful-with-proxy,base,base,base,fresh_bootstrap,10,1,1083446741,1083446741,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90.0,0.0,0.0,0.0,22,0,22,0,injection_onset,before_any_future_fault_start,1774767509.765193,1774767532.2184162,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,80,120,120,80,True,True,False,proc_mem_bytes,16384.0,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,retry_rate",0.06567737589876622,one_to_one,True,,9,441,7.455293313335831,3,2,2,0.8846153846153846,train_max_100,none,9173222.615839027,25945781.9302125,0.07674999999999996,82558976.0,49.031618201183825,59.440423906212416,7397.149527415855,213.96241906860735,87.49545945077192,7.942159893506372,9.203969810442235,8.573064851974305,31.353853157199435,36
