run_id,variant,fault_id,fault_family,study_scope,ablation_block,hypothesis_id,interpretation_note,faithfulness_label,intensity_level,duration_level,pending_level,train_mode,repeat_idx,seed_idx,run_seed,loadgen_seed,tp,fp,fn,tn,tpr,fpr,precision,recall,f1,mean_lead_time_s,median_lead_time_s,num_scored_alarms,pending_window_s,alarm_fp_fraction,paper_af,paper_at,paper_ntn,paper_nfp,normal_window_ticks,num_alarms_before_fault_on,prediction_target_eval,alarm_time_filter,post_bootstrap_ts,fault_on_ts,slo_proxy_ts,anomaly_quantile_level,som_smooth_k,anomaly_streak,anomaly_quantile,som_kfold,som_rows,som_cols,som_lr,som_sigma,poll_sec,bootstrap_target,expected_bootstrap_vectors,effective_bootstrap_vectors,required_bootstrap_vectors,bootstrap_vectors_ok,schedule_bootstrap_polls_ok,manifest_bootstrap_samples,manifest_bootstrap_target,learner_bootstrap_collected_ok,coverage_ok,observability_limited,top_feature,top_effect_size,degenerate_features,normal_variance_score,matching_mode,som_model_present,som_metrics_error,som_dim,som_training_steps,som_threshold_saved,som_init_trials,som_selected_fold,som_selected_init,som_validation_accuracy,som_normalization_mode,som_online_clip_mode,som_scale_mean,som_scale_std,som_scale_min,som_scale_max,som_weight_mean,som_weight_std,som_weight_frobenius,som_unit_weight_l2_mean,som_unit_weight_l2_std,som_neighbor_dist_h_mean,som_neighbor_dist_v_mean,som_umatrix_mean,som_quantization_mean_bmu_dist,som_quantization_n_samples
20260330T101857Z-paper_fidelity_research_anchor-cpu_hog_like-ihigh-dlong-wbase-s01-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only stage-specific fault geometry changes.,paper-faithful-with-proxy,high,long,base,fresh_bootstrap,1,1,2574659294,2574659294,4,0,0,4,1.0,0.0,1.0,1.0,1.0,4.926669120788574,4.923946142196655,4,60.0,0.0,0.0,1.0,81,0,85,4,injection_onset,before_any_future_fault_start,1774873995.453611,1774874081.1586921,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,proc_mem_bytes,29127.11111110449,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,proc_open_fds,retry_rate",0.15318125278203099,many_to_many,True,,9,992,2.621564195282963,3,1,1,0.9333333333333333,train_max_100,none,8891508.989295296,25148974.986261796,0.04889930555555555,80023552.0,45.32582217883664,57.12633970101992,7000.663893137604,212.23596197464752,53.07104708888422,4.710890013772336,5.470032688017437,5.090461350894886,7.538657016766155,35
20260330T101857Z-paper_fidelity_research_anchor-cpu_hog_like-ihigh-dshort-wbase-s01-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only stage-specific fault geometry changes.,paper-faithful-with-proxy,high,short,base,fresh_bootstrap,1,1,1938838859,1938838859,5,0,0,5,1.0,0.0,1.0,1.0,1.0,5.504980945587159,5.515801906585693,5,60.0,0.0,0.0,1.0,81,0,86,5,injection_onset,before_any_future_fault_start,1774873406.735019,1774873492.962625,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,req_rate,1.6365147479366335,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,proc_open_fds,retry_rate",0.1626878259707938,many_to_many,True,,9,984,2.5115024682885276,3,1,0,0.9166666666666666,train_max_100,none,8901976.544887703,25178581.704311892,0.0495076923076923,80117760.0,47.02723880988548,65.26768578085532,7722.7402705804225,225.66984126028547,85.53368179256472,6.208275916816456,6.063835790752093,6.136055853784275,12.448553292417877,35
20260330T101857Z-paper_fidelity_research_anchor-cpu_hog_like-ilow-dlong-wbase-s01-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only stage-specific fault geometry changes.,paper-faithful-with-proxy,low,long,base,fresh_bootstrap,1,1,945095976,945095976,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,0.0,0.0,0.0,83,0,83,0,injection_onset,before_any_future_fault_start,1774871204.270567,1774871287.4207518,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,req_rate,0.16071165292305523,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,proc_open_fds,retry_rate",0.006808105425425064,many_to_many,True,,9,990,3.239906878500703,3,1,0,0.9166666666666666,train_max_100,none,8851004.099600915,25034409.86012843,0.05315425531914887,79659008.0,41.376026972845565,46.60116102906781,5982.613260137475,186.15543595758862,17.290113338925476,4.3307065268849305,4.5375463801146685,4.4341264534997995,18.364370388742625,111
20260330T101857Z-paper_fidelity_research_anchor-cpu_hog_like-ilow-dshort-wbase-s01-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only stage-specific fault geometry changes.,paper-faithful-with-proxy,low,short,base,fresh_bootstrap,1,1,1271105237,1271105237,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,0.0,0.0,0.0,84,0,84,0,injection_onset,before_any_future_fault_start,1774870610.677902,1774870695.291711,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,proc_mem_bytes,88941.71428571641,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,retry_rate",6456.822217074996,many_to_many,True,,9,985,2.719286880450058,3,1,1,0.9333333333333333,train_max_100,none,8856465.431536151,25049856.843960006,0.04786490312965723,79708160.0,44.10473831825869,50.25688485526154,6419.07890272965,199.96659394895028,15.880902422390264,2.269860566409889,3.0315984191168783,2.650729492763384,8.092472004714635,44
20260330T101857Z-paper_fidelity_research_anchor-cpu_hog_like-imedium-dlong-wbase-s01-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only stage-specific fault geometry changes.,paper-faithful-with-proxy,medium,long,base,fresh_bootstrap,1,1,1699126047,1699126047,3,15,0,3,1.0,0.8333333333333334,0.16666666666666666,1.0,0.2857142857142857,3.621304194132487,3.6045045852661133,18,60.0,0.8333333333333334,1.0,1.0,0,15,18,18,injection_onset,before_any_future_fault_start,1774872644.527947,1774872663.216959,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,0,180,False,True,False,proc_mem_bytes,733865.820569694,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,retry_rate",258929.7502444016,many_to_many,True,,9,1195,3.763951467951928,3,1,0,0.9166666666666666,train_max_100,none,8872849.4350555,25096197.792727575,0.06018749999999993,79855616.0,42.92595964527658,51.78667876180248,6457.381401875057,199.06240460561327,33.085375174621184,4.353820155967685,5.298437874680417,4.826129015324051,18.488697896669,188
20260330T101857Z-paper_fidelity_research_anchor-cpu_hog_like-imedium-dshort-wbase-s01-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only stage-specific fault geometry changes.,paper-faithful-with-proxy,medium,short,base,fresh_bootstrap,1,1,3947376001,3947376001,2,0,0,2,1.0,0.0,1.0,1.0,1.0,1.3756060600280762,1.3756060600280762,2,60.0,0.0,0.0,1.0,86,0,88,2,injection_onset,before_any_future_fault_start,1774872035.197012,1774872123.733241,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,req_rate,0.12366956099051718,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,retry_rate",0.12156683829039233,many_to_many,True,,9,984,3.763951467951928,3,1,0,0.9166666666666666,train_max_100,none,8872849.4350555,25096197.792727575,0.06018749999999993,79855616.0,42.318777681265765,50.61428819501275,6333.588714932905,195.02779509391482,33.73907476686075,4.966745276736608,5.6331222793913565,5.299933778063982,14.35356323826985,59
20260330T101857Z-paper_fidelity_research_anchor-disk_fill-ilow-dlong-wbase-s01-r01,paper_fidelity_research_anchor,disk_fill,extended,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only stage-specific fault geometry changes.,paper-faithful-with-proxy,low,long,base,fresh_bootstrap,1,1,2490093088,2490093088,4,0,0,4,1.0,0.0,1.0,1.0,1.0,5.090047538280487,5.07640266418457,4,60.0,0.0,0.0,1.0,82,0,86,4,injection_onset,before_any_future_fault_start,1774883693.693307,1774883779.893991,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,proc_mem_bytes,13533.747319355607,"db_inflight,leak_mb,open_fds_sim,retry_rate",21622.718621567492,many_to_many,True,,9,995,3.263578200018887,3,1,0,0.95,train_max_100,none,8864202.38732877,25071740.04670048,0.049043427230046954,79777792.0,142.96265477598996,1236.1840219101136,119464.63321679116,1075.7207279399986,3574.9305203959434,153.93376189238808,176.1298058552321,165.03178387381007,18943.174300032628,167
20260330T101857Z-paper_fidelity_research_anchor-disk_fill-ilow-dshort-wbase-s01-r01,paper_fidelity_research_anchor,disk_fill,extended,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only stage-specific fault geometry changes.,paper-faithful-with-proxy,low,short,base,fresh_bootstrap,1,1,1864024198,1864024198,5,0,0,5,1.0,0.0,1.0,1.0,1.0,4.6202232837677,4.602169752120972,5,60.0,0.0,0.0,1.0,90,0,95,5,injection_onset,before_any_future_fault_start,1774883087.211787,1774883182.908185,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,disk_fill_mb,464.8648648648649,"db_inflight,leak_mb,open_fds_sim,proc_mem_bytes,proc_open_fds,retry_rate",28.69058375919292,many_to_many,True,,9,981,5.532939015641471,3,1,0,0.9333333333333333,train_max_100,none,8878765.883958781,25112932.02309985,0.10824999999999978,79908864.0,257.4599812839203,2369.1878496866593,228781.04622269017,2126.218257154076,6825.923110066155,290.1193713606091,360.8345610834062,325.47696622200766,48758.32232366141,41
20260330T101857Z-paper_fidelity_research_anchor-lock_convoy-ihigh-dshort-wbase-s01-r01,paper_fidelity_research_anchor,lock_convoy,extended,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only stage-specific fault geometry changes.,paper-faithful-with-proxy,high,short,base,fresh_bootstrap,1,1,1441528601,1441528601,4,0,0,4,1.0,0.0,1.0,1.0,1.0,4.098525822162628,4.1447237730026245,4,60.0,0.0,0.0,1.0,84,0,88,4,injection_onset,before_any_future_fault_start,1774881657.737491,1774881746.5102432,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,proc_mem_bytes,79356723.2,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,retry_rate",308004.3626863494,many_to_many,True,,9,1050,2.200504197072143,3,1,0,0.9333333333333333,train_max_100,none,8846452.991317175,25021537.373014394,0.04884967320261438,79618048.0,39.7447726887409,46.891262366054484,5901.023595005086,183.21441173446186,20.938393301580277,3.117810895020373,3.2990051533118474,3.20840802416611,2.759264215018144,45
20260330T101857Z-paper_fidelity_research_anchor-lock_convoy-ilow-dlong-wbase-s01-r01,paper_fidelity_research_anchor,lock_convoy,extended,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only stage-specific fault geometry changes.,paper-faithful-with-proxy,low,long,base,fresh_bootstrap,1,1,1829107217,1829107217,2,0,0,2,1.0,0.0,1.0,1.0,1.0,1.2915133237838745,1.2915133237838745,2,60.0,0.0,0.0,1.0,76,0,78,2,injection_onset,before_any_future_fault_start,1774879684.836728,1774879763.5084648,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,proc_mem_bytes,78665545.95555554,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,retry_rate",232701.77205279827,many_to_many,True,,9,1050,5.323045680138418,3,1,1,0.95,train_max_100,none,8861926.76615527,25065303.82684269,0.05833333333333331,79757312.0,39.04256414847144,45.996456915210274,5791.90831099694,179.49450750935472,23.27411760597858,5.705982641733696,6.145922058413905,5.925952350073801,3.9212768405757146,36
